ip_address,ip_type,service,region
4.202.254.240/28,IPv4,LogicApps.BrazilSouth,brazilsouth
4.228.72.24/32,IPv4,LogicApps.BrazilSouth,brazilsouth
4.228.78.206/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.24.212/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.25.72/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.64.135/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.66.44/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.66.147/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.91.95/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.95.184/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.110.208/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.110.210/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.110.234/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.110.239/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.110.244/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.111.36/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.111.44/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.111.106/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.111.203/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.111.204/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.111.212/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.201.111.218/32,IPv4,LogicApps.BrazilSouth,brazilsouth
20.206.178.0/28,IPv4,LogicApps.BrazilSouth,brazilsouth
20.206.178.16/29,IPv4,LogicApps.BrazilSouth,brazilsouth
104.41.0.115/32,IPv4,LogicApps.BrazilSouth,brazilsouth
104.41.33.103/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.232.32.19/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.232.32.100/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.232.34.78/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.232.34.249/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.232.35.177/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.232.36.213/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.233.207.0/28,IPv4,LogicApps.BrazilSouth,brazilsouth
191.233.207.32/27,IPv4,LogicApps.BrazilSouth,brazilsouth
191.234.161.28/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.234.161.168/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.234.162.131/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.234.162.178/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.234.166.198/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.234.182.26/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.235.82.221/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.235.86.199/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.235.91.7/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.235.94.220/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.235.95.229/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.237.207.21/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.237.255.116/32,IPv4,LogicApps.BrazilSouth,brazilsouth
191.238.78.248/29,IPv4,LogicApps.BrazilSouth,brazilsouth
2603:1050:6:402::3c0/124,IPv6,LogicApps.BrazilSouth,brazilsouth
2603:1050:6:402::3e0/123,IPv6,LogicApps.BrazilSouth,brazilsouth
