ip_address,ip_type,service,region
13.66.87.135/32,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
13.73.240.16/28,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
13.73.240.112/28,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
13.73.240.240/28,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
13.73.248.96/28,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
20.65.135.0/28,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
40.119.8.80/28,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
48.192.249.204/30,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
48.192.249.216/31,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
48.192.249.218/32,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
48.192.249.224/27,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
48.192.250.0/28,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
52.249.59.91/32,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
104.214.19.32/28,IPv4,AzureMachineLearning.SouthCentralUS,southcentralus
2603:1030:807:1::2c0/122,IPv6,AzureMachineLearning.SouthCentralUS,southcentralus
2603:1030:807:17::102/127,IPv6,AzureMachineLearning.SouthCentralUS,southcentralus
2603:1030:807:17::104/126,IPv6,AzureMachineLearning.SouthCentralUS,southcentralus
2603:1030:807:17::168/128,IPv6,AzureMachineLearning.SouthCentralUS,southcentralus
2603:1030:807:17::170/124,IPv6,AzureMachineLearning.SouthCentralUS,southcentralus
2603:1030:807:17::180/123,IPv6,AzureMachineLearning.SouthCentralUS,southcentralus
