ip_address,ip_type,service,region
185.166.142.224/28,IPv4,rovo-crawler,eu-west-1
2401:1d80:3214:4::/64,IPv6,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",eu-west-1
2401:1d80:3214:3::/64,IPv6,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",eu-west-1
2401:1d80:3214:5::/64,IPv6,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",eu-west-1
52.215.192.224/28,IPv4,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",eu-west-1
185.166.142.240/28,IPv4,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",eu-west-1
2a05:d018:34d:5804::/64,IPv6,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",eu-west-1
2a05:d018:34d:5805::/64,IPv6,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",eu-west-1
2a05:d018:34d:5806::/64,IPv6,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",eu-west-1
185.166.142.0/24,IPv4,"bitbucket,confluence,forge,halp,jira,opsgenie,statuspage,trello",eu-west-1
54.76.137.153/32,IPv4,forge,eu-west-1
34.253.103.242/32,IPv4,forge,eu-west-1
63.34.104.55/32,IPv4,forge,eu-west-1
54.220.63.40/32,IPv4,forge,eu-west-1
54.154.186.82/32,IPv4,forge,eu-west-1
52.208.56.204/32,IPv4,forge,eu-west-1
