ip_address,ip_type,service,region
4.226.195.4/30,IPv4,Sql.SwitzerlandWest,switzerlandw
4.226.195.32/27,IPv4,Sql.SwitzerlandWest,switzerlandw
4.226.195.64/26,IPv4,Sql.SwitzerlandWest,switzerlandw
20.199.205.0/25,IPv4,Sql.SwitzerlandWest,switzerlandw
51.107.152.0/27,IPv4,Sql.SwitzerlandWest,switzerlandw
51.107.153.0/27,IPv4,Sql.SwitzerlandWest,switzerlandw
51.107.153.32/29,IPv4,Sql.SwitzerlandWest,switzerlandw
51.107.250.64/26,IPv4,Sql.SwitzerlandWest,switzerlandw
51.107.250.128/26,IPv4,Sql.SwitzerlandWest,switzerlandw
2603:1020:b04::280/123,IPv6,Sql.SwitzerlandWest,switzerlandw
2603:1020:b04:1::200/121,IPv6,Sql.SwitzerlandWest,switzerlandw
2603:1020:b04:2::680/121,IPv6,Sql.SwitzerlandWest,switzerlandw
2603:1020:b04:400::/123,IPv6,Sql.SwitzerlandWest,switzerlandw
